id,title,description,genre,company,year,price
1,Among Us,Un juego de socialización local o en línea de trabajo en equipo y traición para 4 a 15 jugadores... ¡ambientado en el espacio!,Accion,Innersloth,2018,$4.99
2,Grand Theft Auto V,Grand Theft Auto V para PC ofrece a los jugadores la opción de explorar el galardonado mundo de Los Santos y el condado de Blaine con una resolución de 4K y disfrutar del juego a 60 fotogramas por segundo.,Mundo Abierto,Rockstar Games,2013,$19.99
3,Red Dead Redemption II,Con más de 175 premios al Juego del año y más de 250 valoraciones perfectas; Red Dead Redemption 2 es la épica historia de Arthur Morgan y la banda de Van der Linde; que huyen por toda América en el albor de una nueva era.,Accion,Rockstar Games,2018,$19.99
4,Sackboy A Big Adventure,FABRICADO A MEDIDA PARA PC Sackboy; el emblemático héroe de PlayStation; vuelve a la acción en una aventura de plataformas multijugador en 3D.,Accion,Sony Interactive Entertainment,2020,$49.99
5,Valorant,VALORANT es un shooter táctico 5v5 basado en personajes que está ambientado en un escenario internacional. Sed más listos que vuestros oponentes; superadlos con grandes jugadas y eclipsadlos con habilidades tácticas; armas precisas y trabajo en equipo adaptable.,Disparos,Riot Games,2019,FREE
6,Nier Automata,La historia sigue las batallas del androide de combate 2B; su compañero 9S; y el obsoleto prototipo A2; en una guerra de poder entre las máquinas creadas por invasores de otro mundo y los restos de la humanidad.,Accion,PlatinumGames,2017,$39.00
7,Elden Ring,En el juego el personaje jugador es un Sinluz; un miembro de un grupo de exiliados de las Tierras Intermedias que fueron convocados de vuelta tras la Guerra de la Devastación. Como un Sinluz; el jugador debe atravesar las Tierras Intermedias para reparar el Círculo de Elden y convertirse en el Señor del Círculo.,RPG,FromSoftware,2022,$59.99
8,Monster Hunter World,Monster Hunter World es el retorno de la serie a las consolas de sobremesa; permitiéndonos cazar criaturas gigantes en un entorno salvaje; ya sea en solitario o con tres cazadores con un nuevo sistema multijugador drop-in que permite cooperativo entre regiones.,Accion,Capcom,2018,$30.00
9,God of War,Kratos ha dejado atrás su venganza contra los dioses del Olimpo y vive ahora como un hombre en los dominios de los dioses y monstruos nórdicos. En este mundo cruel e implacable debe luchar para sobrevivir… y enseñar a su hijo a hacerlo también.,Accion,Santa Monica Studio,2022,$39.99
10,Goat Simulator 3,¡Pilgor ha vueltoooo! Reúne a tu rebaño y lánzate a la aventura en Goat Simulator 3: una experiencia de campo sandbox multijugador totalmente nueva y realista.,Aventura,Coffee Stain North AB,2022,$29.99
11,Cyberpunk 2077,Cyberpunk 2077 es un RPG de aventura y acción de mundo abierto ambientado en la megalópolis de Night City; donde te pondrás en la piel de un mercenario o una mercenaria ciberpunk y vivirás su lucha a vida o muerte por la supervivencia. Personaliza tu personaje y tu estilo de juego a medida que aceptas trabajos; te labras una reputación y desbloqueas mejoras. Las relaciones que forjes y las decisiones que tomes darán forma al mundo que te rodea.,Mundo Abierto,CD PROJEKT RED,2020,$51.99
12,Need for Speed Unbound,Corre hasta lo más alto sin llevarte chascos. Supera a la policía y participa en las eliminatorias semanales del Grand (la carrera callejera definitiva). Llena tu garaje de coches personalizados y tuneados con precisión e inunda las calles con tu estilo.,Carreras,Criterion Games,2022,$69.99
13,The Callisto Protocol,Sobrevive y escapa de los horrores de Calisto. Con una combinación única de combate cuerpo a cuerpo y disparos; los jugadores deberán combatir con criaturas que evolucionan rápidamente. Para ello deberán conseguir los recursos para desbloquear nuevas armas y equipos que les permitan sortear la amenaza creciente en la Luna Muerta de Júpiter.,Terror,Striking Distance Studios,2022,$59.99
14,Spider-Man Miles Morales,El adolescente Miles Morales intenta adaptarse a la vida en su nuevo hogar intentando seguir los pasos de su mentor (Peter Parker) como el nuevo Spider-Man. Cuando una lucha de poder amenaza con destruir su hogar; Miles debe cargar el peso de Spider-Man sobre sus hombros.,Mundo Abierto,Insomniac Games,2022,$39.99
15,Dark Souls,Dark Souls es un RPG de acción en tercera persona; que se caracteriza por una atmósfera oscura y una dificultad muy por encima de los estándares actuales. El juego recibió excelentes críticas debido a su jugabilidad desafiante sus controles prácticos y a su innovador modo multijugador; la mayoría de estos aspectos importados de su predecesor espiritual Demon's Souls.,Rol de Acción,FromSoftware,2011,$39.99
16,Destiny 2,Destiny 2 es un MMO de acción con un mundo único y dinámico al que tus amigos y tú os podéis unir en cualquier momento y desde cualquier lugar de forma totalmente gratuita.,Acción,Bungie,2017,FREE
17,Shadow of the Colossus,SHADOW OF THE COLOSSUS para la consola PlayStation 4 presenta su deslumbrante e inolvidable mundo y sus imponentes criaturas a una nueva generación de jugadores. Además; permite a los fanáticos de larga data revivir la increíble obra maestra con una fidelidad visual sin precedentes y un rendimiento mejorado.,Acción,Team ICO,2018,$9.99
18,Bloodborne,El juego tiene lugar en la ciudad gótica decrépita de Yharnam; conocida por sus avances médicos basados en el uso de la sangre como principal elemento. Con los años muchos peregrinos viajaron a la ciudad en busca del remedio para curar sus aflicciones. El jugador emprende el viaje a Yharnam buscando una poderosa sangre conocida como «Sangre pálida» que más tarde descubriremos; proviene de unos seres adorados como dioses apodados los grandes.,ARPG,FromSoftware,2015,$17.49
